Date Cts +- State
56088.5 2.0000 0.0435 0
56089.5 2.5969 0.0437 0
56090.5 2.1052 0.0468 0
56091.5 2.4757 0.0566 0
56092.5 2.2699 0.0501 0
56093.5 2.3884 0.0521 0
56094.5 2.9802 0.0589 0
56095.5 4.2647 0.0672 0
56096.5 3.4496 0.0622 0
56097.5 2.7187 0.0554 0
56098.5 2.3670 0.0536 0
56099.5 2.7482 0.0557 0
56100.5 2.7843 0.2229 0
56108.5 1.9608 0.1182 0
56109.5 2.3510 0.0679 0
56125.5 1.9778 0.1026 0
56129.5 3.1178 0.0728 0
56130.5 3.1713 0.0542 0
56131.5 2.4852 0.0528 0
56132.5 2.0317 0.0429 0
56133.5 2.5099 0.0473 0
56134.5 2.5065 0.0496 0
56135.5 2.1914 0.0442 0
56136.5 2.6205 0.0580 0
56137.5 2.2140 0.0506 0
56138.5 1.2676 0.0788 0
56139.5 2.9657 0.0480 0
56140.5 2.0537 0.0442 0
56141.5 2.8795 0.0739 0
56142.5 1.9767 0.0413 0
56143.5 1.9039 0.0381 0
56144.5 2.3549 0.0378 0
56145.5 2.2087 0.0379 0
56146.5 2.1386 0.0360 0
56147.5 2.6502 0.0380 0
56148.5 2.2020 0.0350 0
56149.5 2.0546 0.0328 0
56150.5 2.1467 0.0346 0
56151.5 2.0192 0.0327 0
56152.5 2.2955 0.0358 0
56153.5 2.4959 0.0359 0
56154.5 2.2397 0.0369 0
56155.5 1.7582 0.0334 0
56156.5 1.9793 0.0383 0
56157.5 2.3927 0.0417 0
56158.5 2.8206 0.0456 0
56159.5 2.6459 0.0431 0
56160.5 2.4307 0.0508 0
56161.5 3.8086 0.0527 0
56162.5 3.3665 0.0539 0
56163.5 3.0234 0.0570 0
56164.5 2.7944 0.0566 0
56165.5 2.1039 0.0491 0
56166.5 2.4252 0.0530 0
56167.5 2.8952 0.0540 0
56168.5 2.8107 0.0564 0
56169.5 2.6257 0.0523 0
56170.5 2.4259 0.0540 0
56171.5 1.6547 0.0448 0
56172.5 1.9892 0.1136 0
56199.5 2.5578 0.1092 0
56200.5 2.2169 0.0528 0
56201.5 2.0050 0.0468 0
56202.5 2.1414 0.0481 0
56203.5 1.6179 0.0414 0
56204.5 2.1873 0.0495 0
56205.5 1.7573 0.0425 0
56206.5 1.7517 0.0434 0
56207.5 2.4194 0.0470 0
56208.5 2.0207 0.0442 0
56209.5 3.2249 0.0605 0
56210.5 2.8966 0.0630 0
56211.5 2.7202 0.0683 0
56212.5 2.3778 0.0428 0
56213.5 3.1321 0.0450 0
56214.5 2.2526 0.0478 0
56215.5 1.9126 0.0446 0
56216.5 1.9048 0.0399 0
56217.5 2.2434 0.0404 0
56218.5 2.8457 0.0416 0
56219.5 2.3549 0.0394 0
56220.5 1.5233 0.0308 0
56221.5 1.7169 0.0323 0
56222.5 1.8376 0.0316 0
56223.5 2.0311 0.0341 0
56224.5 2.0929 0.0334 0
56225.5 2.7235 0.0383 0
56226.5 2.9659 0.0393 0
56227.5 2.2379 0.0373 0
56228.5 2.9730 0.0425 0
56229.5 1.8823 0.0369 0
56230.5 1.7831 0.0362 0
56231.5 2.3100 0.0433 0
56232.5 2.7465 0.0781 0
56233.5 2.2397 0.0513 0
56234.5 2.4314 0.0486 0
56235.5 3.2449 0.0646 0
56236.5 2.6576 0.0495 0
56237.5 1.8627 0.0469 0
56238.5 2.2155 0.0524 0
56239.5 3.2786 0.0609 0
56240.5 2.8346 0.0561 0
56241.5 2.0109 0.0492 0
56242.5 2.7031 0.0556 0
56243.5 2.9716 0.0598 0
56244.5 2.9236 0.0594 0
56249.5 1.5518 0.1000 0
56272.5 2.2491 0.0692 0
56273.5 2.3588 0.0512 0
56274.5 2.4535 0.0590 0
56275.5 1.9150 0.0476 0
56276.5 2.4385 0.0497 0
56277.5 2.8681 0.0582 0
56278.5 2.3777 0.0471 0
56279.5 2.6062 0.0500 0
56280.5 2.6065 0.0486 0
56281.5 2.0556 0.0465 0
56282.5 2.1150 0.0497 0
56283.5 1.6974 0.0583 0
56284.5 3.3406 0.0593 0
56285.5 3.1405 0.0465 0
56286.5 2.9562 0.0520 0
56287.5 2.2165 0.0497 0
56288.5 2.1746 0.0445 0
56289.5 2.7921 0.0409 0
56290.5 3.2493 0.0469 0
56291.5 2.4654 0.0383 0
56292.5 2.2057 0.0374 0
56293.5 2.0423 0.0337 0
56294.5 1.8836 0.0326 0
56295.5 2.3418 0.0345 0
56296.5 1.9706 0.0331 0
56297.5 2.3739 0.0493 0
56298.5 1.8273 0.0426 0
56299.5 1.7961 0.0362 0
56300.5 1.7796 0.0323 0
56301.5 2.5500 0.0407 0
56302.5 2.4878 0.0407 0
56303.5 2.1599 0.0422 0
56304.5 2.4450 0.0446 0
56305.5 2.5604 0.0445 0
56306.5 1.8398 0.0511 0
56307.5 2.4669 0.0521 0
56308.5 2.7498 0.0522 0
56309.5 2.6477 0.0512 0
56310.5 2.8206 0.0558 0
56311.5 2.3878 0.0528 0
56312.5 2.6251 0.0531 0
